date,total_events,avg_goldstein,protest_events,conflict_events,govt_events
2015-04-16,73379,0.537796917374181,1844,4639,7359
2015-04-17,69781,0.5742695002937761,1506,4425,7343
2015-04-18,41874,0.52004107560777513,923,2719,4202
2015-04-19,37409,0.64702611670988264,797,2481,3783
2015-04-20,60327,0.63215641420922619,1309,3718,6282
2015-04-21,70017,0.726303611979948,1516,3910,7501
2015-04-22,73294,0.66780364013425375,1581,4155,7620
2015-04-23,72353,0.63617403563086494,1715,4367,7354
2015-04-24,68667,0.530804182564879,1694,4212,6910
2015-04-25,38647,0.52340733840500919,982,2508,3917
2015-04-26,35217,0.66673387096774261,806,2200,3607
2015-04-27,58300,0.60901886792452786,1530,3641,6057
2015-04-28,70971,0.46709078355948214,2180,4310,6984
2015-04-29,72342,0.58813828757844655,2112,4124,7349
2015-04-30,71704,0.57292061809662,2342,3898,7727
2015-05-01,68166,0.55308520626723756,2084,3826,7050
2015-05-02,39621,0.36848893263673294,1333,2586,3887
2015-05-03,35507,0.52540625792097284,1039,2391,3741
2015-05-04,60706,0.45275755279544061,1482,4668,6470
2015-05-05,69759,0.46415372926790815,1537,5045,7292
2015-05-06,73129,0.62159471618646511,1579,4455,7744
2015-05-07,70663,0.626748085985593,1617,4361,7583
2015-05-08,64618,0.558175740505741,1464,4062,6951
2015-05-09,38727,0.551041908745836,818,2488,3972
2015-05-10,35096,0.60849954410759088,675,2545,3767
2015-05-11,59395,0.59473019614445632,1321,4121,6323
2015-05-12,69855,0.55750339989979225,1753,4431,7107
2015-05-13,70810,0.59224262109871462,1597,4480,7197
2015-05-14,70878,0.63139196929936026,1540,4339,7326
2015-05-15,64294,0.66170404703393781,1316,3786,6700
2015-05-16,37602,0.54013616297005418,830,2600,3875
2015-05-17,34767,0.57853136595047039,705,2511,3292
2015-05-18,56724,0.54915905645075946,1247,3874,5570
2015-05-19,66375,0.6119293699340097,1389,4083,6986
2015-05-20,69457,0.66876340757591013,1452,4123,7490
2015-05-21,69170,0.6156556310539254,1566,4354,7496
